, SiO2, Al2O3, FeO, MnO, MgO, Fe, Ni, Co, C
Allende (cc), 34.23, 3.27, 27.15, 0.18, 24.62, 0.17, 0.36, 0.01, 0.29
Bali (cc), 33.77, 3.16, 26.51, 0.19, 24.54, 0.15, 0.22, 0.01, 0.57
Efremovka (cc), 34.31, 3.37, 17.20, 0.19, 24.71, 5.51, 1.37, 0.06, 0.76
Coolidge (cc), 34.42, 3.31, 7.26, 0.24, 24.99, 8.28, 1.35, 0.08, 0.19
Ankober (hc), 35.35, 2.32, 13.05, 0.32, 22.86, 13.96, 1.71, 0.10, 0.10
Faucett (hc), 36.12, 2.21, 9.24, 0.29, 22.75, 13.36, 1.70, 0.07, 0.15
Kabo (hc), 36.54, 2.15, 9.60, 0.33, 23.24, 17.56, 1.80, 0.09, 0.01
Marilia (hc), 37.09, 2.06, 9.82, 0.32, 23.26, 16.88, 1.71, 0.04, 0.15
Inman (lc), 39.92, 2.26, 10.13, 0.33, 24.58, 1.56, 0.97, 0.04, 0.35
Khohar (lc), 39.40, 2.28, 14.20, 0.35, 24.72, 6.61, 1.25, 0.05, 0.32
Hedjaz (lc), 39.93, 1.61, 11.77, 0.33, 24.73, 9.03, 1.29, 0.06, 0.27
Hallingeberg (lc), 39.20, 2.24, 14.01, 0.34, 23.97, 6.86, 1.29, 0.06, 0.26
